Update: 8 spline, 20 tower
Free: 4 spline, 10 tower
Update: 1 spline, 3 tower
Update: 4 spline, 8 tower
Free: 2 spline, 4 tower
Update: 4 spline, 18 tower
Free: 2 spline, 9 tower
Update: 44 spline, 128 tower
Free: 22 spline, 64 tower
Update: 46 spline, 130 tower
Free: 23 spline, 65 tower
Update: 4 spline, 7 tower
Update: 8 spline, 14 tower
Free: 4 spline, 7 tower
Update: 8 spline, 14 tower
Free: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 4 spline, 7 tower
Update: 6 spline, 14 tower
Free: 3 spline, 7 tower
Update: 6 spline, 14 tower
Free: 3 spline, 7 tower
Update: 6 spline, 14 tower
Free: 3 spline, 7 tower
Update: 6 spline, 14 tower
Free: 3 spline, 7 tower
Update: 6 spline, 14 tower
Free: 3 spline, 7 tower
Update: 6 spline, 14 tower
Free: 3 spline, 7 tower
Update: 1 spline, 3 tower
Update: 2 spline, 6 tower
Free: 1 spline, 3 tower
Update: 2 spline, 6 tower
Free: 1 spline, 3 tower
Update: 4 spline, 18 tower
Free: 2 spline, 9 tower
Update: 8 spline, 16 tower
Free: 4 spline, 8 tower
Update: 16 spline, 32 tower
Free: 8 spline, 16 tower
Update: 2 spline, 9 tower
Update: 8 spline, 36 tower
Free: 4 spline, 18 tower
Update: 4 spline, 18 tower
Free: 2 spline, 9 tower
Update: 10 spline, 48 tower
Free: 5 spline, 24 tower
Update: 8 spline, 36 tower
Free: 4 spline, 18 tower
Update: 18 spline, 42 tower
Free: 9 spline, 21 tower
Update: 22 spline, 64 tower
Update: 62 spline, 157 tower
Free: 31 spline, 78 tower
Update: 62 spline, 162 tower
Free: 31 spline, 81 tower
Update: 20 spline, 56 tower
Free: 10 spline, 28 tower
Update: 46 spline, 132 tower
Free: 23 spline, 66 tower
Update: 20 spline, 52 tower
Free: 10 spline, 26 tower
Update: 20 spline, 52 tower
Free: 10 spline, 26 tower
Update: 2 spline, 6 tower
Free: 1 spline, 3 tower
Update: 18 spline, 42 tower
Free: 9 spline, 21 tower
Update: 11 spline, 34 tower
Free: 6 spline, 16 tower
Update: 13 spline, 37 tower
Free: 5 spline, 18 tower
Update: 18 spline, 42 tower
Free: 9 spline, 21 tower
Update: 1 spline, 6 tower
Update: 17 spline, 51 tower
Free: 8 spline, 25 tower
Update: 28 spline, 44 tower
Free: 13 spline, 22 tower
Update: 20 spline, 44 tower
Free: 10 spline, 22 tower
Update: 2 spline, 12 tower
Free: 1 spline, 6 tower
Update: 6 spline, 30 tower
